"委員会","","ふりがな"
"定例会","05_その他","ていれいかい"
"総務委員会","03_常任","そうむいいんかい"
"保健福祉委員会","03_常任","ほけんふくしいいんかい"
"建設環境委員会","03_常任","けんせつかんきょういいんかい"
"文教委員会","03_常任","ぶんきょういいんかい"
"議会運営委員会","03_常任","ぎかいうんえいいいんかい"
"議会運営委員会理事会","05_その他","ぎかいうんえいいいんかいりじかい"
"区民サービス向上対策特別委員会","04_特別","くみんさーびすこうじょうたいさくとくべついいんかい"
"危機管理対策特別委員会","04_特別","ききかんりたいさくとくべついいんかい"
"都市基盤整備特別委員会","04_特別","としきばんせいびとくべついいんかい"
"決算審査特別委員会","02_予算/決算","けっさんしんさとくべついいんかい"
"決算審査特別委員会第1分科会","02_予算/決算","けっさんしんさとくべついいんかいだい1ぶんかかい"
"決算審査特別委員会第2分科会","02_予算/決算","けっさんしんさとくべついいんかいだい2ぶんかかい"
"決算審査特別委員会第3分科会","02_予算/決算","けっさんしんさとくべついいんかいだい3ぶんかかい"
"決算審査特別委員会第4分科会","02_予算/決算","けっさんしんさとくべついいんかいだい4ぶんかかい"
"決算審査特別委員会理事会","02_予算/決算","けっさんしんさとくべついいんかいりじかい"
"予算審査特別委員会","02_予算/決算","よさんしんさとくべついいんかい"
"予算審査特別委員会第1分科会","02_予算/決算","よさんしんさとくべついいんかいだい1ぶんかかい"
"予算審査特別委員会第2分科会","02_予算/決算","よさんしんさとくべついいんかいだい2ぶんかかい"
"予算審査特別委員会第3分科会","02_予算/決算","よさんしんさとくべついいんかいだい3ぶんかかい"
"予算審査特別委員会第4分科会","02_予算/決算","よさんしんさとくべついいんかいだい4ぶんかかい"
"予算審査特別委員会理事会","02_予算/決算","よさんしんさとくべついいんかいりじかい"
"臨時会","05_その他","りんじかい"
"地域活性化・区民サービス向上対策特別委員会","04_特別","ちいきかっせいか・くみんさーびすこうじょうたいさくとくべついいんかい"
"地域活性化対策特別委員会","04_特別","ちいきかっせいかたいさくとくべついいんかい"
"地方分権・行革特別委員会","04_特別","ちほうぶんけん・ぎょうかくとくべついいんかい"
